2023-05-04 15:00:49.203; Monitoring; 1; 32; 5000; 5.541; BA DC
2023-05-04 15:01:58.154; Monitoring; 1; 32; 5000; 5.540; BA DC
2023-05-04 15:07:44.610; ImpedanceCheck; 0; 32; 5000; 5.540; BA DC
2023-05-04 15:08:47.498; ImpedanceCheck; 0; 32; 5000; 5.539; BA DC
2023-05-04 15:09:49.947; ImpedanceCheck; 0; 32; 5000; 5.539; BA DC
2023-05-04 15:10:52.383; ImpedanceCheck; 0; 32; 5000; 5.539; BA DC
2023-05-12 14:34:00.970; Monitoring; 0; 16; 1000; 5.525; ExG16
2023-05-12 14:35:01.041; Monitoring; 0; 16; 1000; 5.525; ExG16
2023-05-12 14:36:01.065; Monitoring; 0; 16; 1000; 5.525; ExG16
2023-05-12 14:37:01.844; Saving; 0; 16; 1000; 5.525; ExG16
